"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"850739737304477696","","","2017-04-08 15:58:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I was going to clean today but I'm sick (fuck food) so now I'm just going to lay in bed and play Hatoful Boyfriend like the trash I am","","","",""
"850738639571234816","","","2017-04-08 15:54:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","conclusion: my face got fatter and my will to live dwindled after I stopped doing band 🙃 https://t.co/sCBriFapRT","","","","https://twitter.com/_rinneh/status/850738639571234816/photo/1,https://twitter.com/_rinneh/status/850738639571234816/photo/1,https://twitter.com/_rinneh/status/850738639571234816/photo/1,https://twitter.com/_rinneh/status/850738639571234816/photo/1"
"850700314176921602","850563980254826496","44054652","2017-04-08 13:22:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ChrisRGun everythingsfine.png https://t.co/tN660sFIgN","","","","https://twitter.com/_rinneh/status/850700314176921602/photo/1"
"850685206184984576","","","2017-04-08 12:22:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#livingwithacat https://t.co/UbGFqoqDDB","","","","https://twitter.com/_rinneh/status/850685206184984576/photo/1"
"850624715567886336","","","2017-04-08 08:21:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","When will my sleep habits not be absolute shit?","","","",""
"850513651580776448","","","2017-04-08 01:00:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mood: Itachi https://t.co/a08A78BwHW","","","","https://twitter.com/_rinneh/status/850513651580776448/photo/1,https://twitter.com/_rinneh/status/850513651580776448/photo/1"
"850436340923723782","850433038379102214","152824621","2017-04-07 19:53:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GameOverBrianna there's no such thing as having too much queso and salsa in one sitting","","","",""
"850400290662699008","850400087356440576","1733467884","2017-04-07 17:30:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@shoe0nhead Photoshop","","","",""
"850171550280146944","850162692648292352","211031460","2017-04-07 02:21:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@RealSamuelT i am going to this weekend but right now i'm just photoshopping people's faces on pigeons","","","",""
"850146307012481025","850145889553457152","18517591","2017-04-07 00:40:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""I'm going to shop that face on a pigeon tonight!""

out of context this sounds really weird","","","",""
"850145936441577472","850145889553457152","18517591","2017-04-07 00:39:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","what the fuck am i","","","",""
"850145889553457152","","","2017-04-07 00:39:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Real quote from me, ""his face also looks rly fucking good photoshopped on a pigeon's body, that kind of man is even harder to forget""","","","",""
"849802773378080774","","","2017-04-06 01:55:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I live for @seananners laugh","","","",""
"849799573883285505","","","2017-04-06 01:43:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I could have had any handle I wanted when I joined twitter in '08 but nooo... @rin wasn't taken until '11 like srsly mini me?","","","",""
"849756869748981760","","","2017-04-05 22:53:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Me, to Mika: ""don't touch her food or I will beat your ass mister!""

I'm a straight up mom at this point","","","",""
"849299922495172610","","","2017-04-04 16:37:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","remember when ask.fm was more popular and ppl asked the weirdest shit #nvr5get","","","",""
"849229169611468801","","","2017-04-04 11:56:26 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I just dropped Bo off at doggie daycare and I was totally wearing two very different shoes fml","","","",""
"848931611878076416","","","2017-04-03 16:14:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RickandMorty: Be careful what you wish for.
This makes me uncomfortable. Specifically the ""McNugga"".

#szechuansauce 

https://t.co/c8U…","848584776621539328","729468343","2017-04-02 17:15:51 +0000","https://twitter.com/mcdonalds/status/848573499874709506"
